City,Country,Lat,Lng,Description,Humidity,MaxTemp,Cloudiness,WindSpeed,Hotel Name
Ouango,CF,4.3133,22.5552,scattered clouds,64,72.9,28,1.61,No Hotel Found
Takoradi,GH,4.8845,-1.7554,few clouds,83,79.54,15,9.08,Protea Hotel
Rio Cuarto,AR,-33.1307,-64.3499,few clouds,25,85.77,20,11.5,Howard Jhonson
Merauke,ID,-8.4667,140.3333,overcast clouds,85,79.2,99,4.88,No Hotel Found
Nacala,MZ,-14.5428,40.6728,light rain,83,79.32,55,8.99,Nacala New Hotel
Otane,NZ,-39.8833,176.6333,overcast clouds,63,70.02,99,8.93,No Hotel Found
Akure,NG,7.2526,5.1931,overcast clouds,79,75.47,87,2.66,Genesis Hotel
Porto Novo,BJ,6.4965,2.6036,overcast clouds,82,79.92,96,7.25,SODAS
Peruibe,BR,-24.32,-46.9983,scattered clouds,82,70.7,42,6.82,Leblon
Mattru,SL,7.6244,-11.8332,clear sky,87,75.88,2,2.48,No Hotel Found
Tomatlan,MX,19.9333,-105.25,few clouds,47,80.31,19,7.31,Hotel Mision San Miguel
San Matias,BO,-16.3667,-58.4,overcast clouds,77,79.34,100,5.7,Hotel Vallegrande
Huarmey,PE,-10.0681,-78.1522,overcast clouds,77,72.91,98,8.84,Miramar
Celestun,MX,20.8667,-90.4,clear sky,75,79.79,10,10.02,Hotel Maria del Carmen
Wawa,NG,9.9022,4.4192,overcast clouds,23,79.61,100,1.79,No Hotel Found
Portobelo,PA,9.55,-79.65,light rain,85,80.11,64,5.57,Casa Congo
Kalmunai,LK,7.4167,81.8167,overcast clouds,84,75.02,96,7.85,Sakkaryya Hotel and Restaurant
Caxito,AO,-8.5785,13.6643,overcast clouds,88,75.27,94,2.24,No Hotel Found
El Alto,PE,-4.2714,-81.2147,overcast clouds,75,76.66,100,11.03,No Hotel Found
Amapa,BR,1.0,-52.0,overcast clouds,73,79.03,100,3.22,No Hotel Found
Varzea Da Palma,BR,-17.5981,-44.7308,overcast clouds,82,71.87,99,3.87,No Hotel Found
Cairns,AU,-16.9167,145.7667,broken clouds,78,85.06,75,3.44,Cairns Central Plaza Apartment Hotel
